California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
75196,Alameda,Lea's Christian,Hayward Unified,01611927003304,510,785,2477,26236 Adrian Avenue,Hayward,CA,94545,mrsbland@leaschristianschool.org,21,15,9,10,8,0,0,0,0,0,0,0,0,0,0,63, ,,,,,Mrs.,Melva ,Bland,Administrator,Coeducational,Day Only,K,4,No,0,6,1,1,1,Yes,No,No,No,Religious,NA,No,Mrs.,Melva,Bland,26236 Adrian Avenue,Hayward,CA,94545,mrsbland@leaschristianschool.org
76391,Alameda,Lighthouse Baptist School,Pleasanton Unified,01751017098585,925,846,7220,118 Neal Street,Pleasanton,CA,94566,secretary@atthelighthouse.com,8,3,2,3,2,1,0,0,1,1,1,2,2,0,0,26, ,,,,,Mr.,Christopher,Rule,Administrator,Coeducational,Day Only,K,12,Yes,0,3,3,1,0,Yes,Yes,No,No,Religious,BAPT,No,Mrs.,Ruby,Chan,118 Neal Street,Pleasanton,CA,94566,
73382,Alameda,Lincoln Child Center,Oakland Unified,01612597032485,510,531,3111,4368 Lincoln Avenue,Oakland,CA,94602-2529,vinyavasu@lincolncc.org,0,6,1,4,10,6,15,13,6,0,0,0,0,0,0,61, ,,,,,Ms.,Vinya,Vasu,Principal,Coeducational,Both,K,8,No,0,8,0,4,49,Yes,Yes,No,No,Non-religious,,Yes,Ms.,Lisa,Allen,4368 Lincoln Avenue,Oakland,CA,94602,lisaallen@lincolncc.org
80166,Alameda,Maybeck High School,Berkeley Unified,01611436932990,510,841,8489,2727 College Avenue,Berkeley,CA,94705,"office@maybeckhs,org",0,0,0,0,0,0,0,0,0,22,38,25,34,0,0,119, ,,,,,Dr.,John,Muster,Head of School,Coeducational,Day Only,9,12,No,24,12,4,4,2,Yes,No,No,No,Non-religious,,No,Ms.,Jessie,Kael,2727 College Avenue,Berkeley,CA,94705,office@maybeckhs.org
79250,Alameda,Mills College Children's School,Oakland Unified,01612596906549,510,430,2118,5000 MacArthur Boulevard,Oakland,CA,94613,children@mills.edu,8,8,9,7,0,0,0,0,0,0,0,0,0,0,0,32, ,,,,,Ms.,Debra,Brown,Head of School,Coeducational,Day Only,K,3,No,0,2,1,1,3,Yes,No,No,No,,,No,Ms.,Debra ,Brown,5000 MacAthur Boulevard,Oakland,CA,94613,msbrown@mills.edu
76774,Alameda,Mission Hills Christian School,Fremont Unified,01611766976013,510,490,7709,225 Driscoll Road,Fremont,CA,94539,mrjimb@hotmail.com,4,2,0,0,3,2,1,0,3,0,0,0,0,0,0,15, ,,,,Mission Hills SDA Christian,Mr.,Jim,Beierle,Principal,Coeducational,Day Only,K,8,No,0,2,0,0,0,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
76943,Alameda,Mission Hills Middle School,New Haven Unified,01612426138648,510,493,2189,725 Whipple Road,Union City,CA,94587,ferishta@mhmschool.org,0,1,1,2,1,1,1,4,13,0,0,0,0,0,0,24, ,,,,,Mrs.,Ferishta,Kulaly,Administrator,Coeducational,Day Only,1,8,No,0,4,3,1,1,No,No,No,Yes,Non-religious,,No,Mrs.,Ferishta,Kulay,1120 Silver Street,Union City,CA,94587,ferishta@mhmschool.org
77653,Alameda,Montessori Children's House of Hayward,Hayward Unified,01611927103286,510,782,4427,166 West Harder Road,Hayward,CA,94544,,22,13,9,11,0,0,0,0,0,0,0,0,0,0,0,55,26236 Adrian Avenue,Hayward,CA,94545,,Ms.,Jo,Eckerley,Director,Coeducational,Day Only,K,3,No,0,4,1,1,2,Yes,No,No,No,Non-religious,,No,Mrs.,Joanna,Gilman,166 West Harder Road,Hayward,CA,94545,
77400,Alameda,Montessori Family School,Berkeley Unified,01611436919682,510,848,2322,1850 Scenic Avenue ,Berkeley,CA,94709,gisele@montessorifamily.com,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, ,,,,,Ms.,Gisele,Thomas,Administrator,Coeducational,Day Only,K,K,No,0,8,1,1,2,Yes,No,No,No,Non-religious,,No,Ms.,Gisele,Thomas,1850 Scenic Avenue ,Berkeley,CA,94709,gisele@montessorifamily.com
76049,Alameda,Montessori School of Fremont,Fremont Unified,01611766993778,510,490,1993,155 Washington Boulevard,Fremont,CA,94539,msf.lindsay@gmail.com,30,28,21,20,15,14,8,0,0,0,0,0,0,0,0,136, ,,,,,Ms.,Tess,Buenaventura,Director,Coeducational,Day Only,K,6,No,0,20,5,1,3,No,No,No,Yes,Non-religious,,No,Ms.,Lindsay,Neumiller,155 Washington Boulevard,Fremont,CA,94539,
72771,Alameda,Moreau Catholic High School,Hayward Unified,01611926933006,510,881,4300,27170 Mission Boulevard,Hayward,CA,94544,llek@moreaucatholic.org,0,0,0,0,0,0,0,0,0,216,247,232,205,0,0,900, ,,,,,Mrs.,Lauren,Lek,Principal,Coeducational,Day Only,9,12,Yes,192,50,6,11,42,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Kim,Capurro,27170 Mission Boulevard,Hayward,CA,94544,kcapurro@moreaucatholic.org
83600,Alameda,Muhammad University of Islam,Oakland Unified,01612597098106,510,436,0206,5277 Foothill Boulevard,Oakland,CA,94601,muhammaduniversity@sbcglobal.net,5,10,8,8,8,8,13,8,5,4,5,2,3,3,0,90, ,,,,,Mrs.,Salamah,Muhammad,Administrator,Coeducational,Day Only,K,12,Yes,2,12,2,3,5,No,No,Yes,No,Religious,ISLM,No,Mrs.,Salamah,Muhammad,3042 Badger Drive,Pleasanton,CA,94566,muhammaduniversity@sbcglobal.net
76753,Alameda,New Horizons,Fremont Unified,01611767047236,510,791,5683,2550 Peralta Boulevard,Fremont,CA,94536,dhwl@comcast.net,32,16,32,18,20,18,15,8,5,0,0,0,0,0,0,164, ,,,,,Ms.,Kathryn,Liu,President,Coeducational,Day Only,K,8,No,0,11,0,3,5,No,No,No,Yes,Non-religious,,No,Ms.,Kathryn,Liu,8011 Skyline Boulevard,Oakland,CA,94611,dhwl@comcast.net
79921,Alameda,Northern Light,Oakland Unified,01612597054018,510,957,0570,3710 Dorisa Avenue,Oakland,CA,94605,northernltnews@aol.com,16,12,18,10,16,13,13,17,15,0,0,0,0,0,0,130, ,,,,,Ms.,Jennifer,Diaz,Administrator,Coeducational,Day Only,K,8,No,0,14,2,2,1,Yes,No,No,No,Non-religious,,No,Ms.,Jennifer,Diaz,3710 Dorisa Avenue,Oakland,CA,94605,jdiaz@northernlightschool.net
76632,Alameda,Northstar School,Hayward Unified,01611926200877,510,264,1542,24823 Soto Road,Hayward,CA,94544,info@northstarschool.org,15,17,14,11,10,10,7,2,0,0,0,0,0,0,0,86,249 West Jackson Street,Hayward,CA,94545,,Mrs.,Salwa ,Abed,Director,Coeducational,Day Only,K,7,No,0,8,2,2,2,Yes,No,No,No,Religious,ISLM,No,Miss,Marjan ,Mojaddedi,249 West Jackson Street,Hayward,CA,94545,marjan@northstarschool.org
80076,Alameda,Oakland Hebrew Day,Oakland Unified,01612597081524,510,531,8600,5500 Redwood Road,Oakland,CA,94619,office@ohds.org,18,16,19,22,27,17,26,7,14,0,0,0,0,0,0,166, ,,,,,Rabbi,Yehudah,Potok,Head of School,Coeducational,Day Only,K,8,No,0,12,17,6,7,Yes,No,No,No,Religious,JWSH,No,Rabbi,Yehudah ,Potok,5500 Redwood Road,Oakland,CA,94619,office @ohds.org
72256,Alameda,Our Lady of Grace,Castro Valley Unified,01611506970651,510,581,3155,3427 Somerset Avenue ,Castro Valley,CA,94546,cwahl@csdo.org,26,14,18,24,28,18,14,28,20,0,0,0,0,0,0,190, ,,  ,,Our Lady of Grace,Mrs.,Colleen,Wahl,Principal,Coeducational,Day Only,K,8,No,0,11,4,1,6,Yes,No,No,No,Religious,CATH,No,,colleen,wahl,3427 Somerset Avenue ,Castro Valley,CA,94546,cwahl@csdo.org
81325,Alameda,Our Lady of Guadalupe,Fremont Unified,01611766970628,510,657,1674,40374 Fremont Boulevard,Fremont,CA,94538,Lkeltie@csdo.org,22,25,25,23,17,23,28,31,21,0,0,0,0,0,0,215, ,,,,St. Leonard and St. Leonard-Santa Paula,Mrs.,Linda ,Parini,Principal,Coeducational,Day Only,K,8,No,0,9,6,1,16,Yes,No,No,No,Religious,CATH,No,Mrs.,Linda,Parini,40374 Fremont Boulevard,Fremont,CA,94538,Lparini@csdo.org
72333,Alameda,Our Lady of the Rosary,New Haven Unified,01612426977862,510,471,3765,678 B Street,Union City,CA,94587,ggalarsa@csdo.org,11,18,17,11,20,9,19,24,22,0,0,0,0,0,0,151, ,,,,,Mrs.,Gloria,Galarsa,Principal,Coeducational,Day Only,K,8,No,0,8,0,1,4,Yes,No,No,No,Religious,CATH,No,Mrs.,Gloria,Galarsa,678 B Street,Union City,CA,94587,ggalarsa@csdo.org
79672,Alameda,Our Savior Lutheran,Livermore Valley Joint Unified,01612006995583,925,447,2082,1385 South Livermore Avenue,Livermore,CA,94550,mangerman@oslm.net,24,32,22,31,42,38,45,29,29,0,0,0,0,0,0,292, ,,,,,Mrs.,Mickey,Angerman,Principal,Coeducational,Day Only,K,8,No,0,20,0,1,4,Yes,No,No,No,Religious,LUTH,No,Mrs.,Krys,Thibault,1385 South Livermore Avenue,Livermore,CA,94550,kthibault@oslm.net
83448,Alameda,Pacific Boychoir Academy,Oakland Unified,01612596205629,510,849,8180,2401 Le Conte Avenue,Berkeley,CA,94709,jimg@pacificboychoiracademy.org,0,0,0,0,8,11,7,4,7,0,0,0,0,0,0,37,4247 Terrace Street,Oakland,CA,94611,,Mr.,James,Gaines,Head of School,Boys Only,Day Only,4,8,No,0,4,5,2,0,Yes,No,No,No,Non-religious,,No,,Pamela,Weimer,2401 Le Conte Avenue,Berkeley,CA,94709,pamelaw@pacificboiychoiracademy.org
75655,Alameda,Pacific Rim International School,Emery Unified,01611687084874,510,601,1500,5521 Doyle Street ,Emeryville,CA,94608,prints_em@pacificriminternationalschool.org,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6, ,,,,,Ms.,Christinia ,Cheung,Executive Director,Coeducational,Day Only,K,6,No,0,1,2,2,0,No,No,No,Yes,Non-religious,,No,Mrs.,Sandy,Fong,5521 Doyle Street ,Emeryville,CA,94608,prints_em@pacificriminternationalschool.org
82335,Alameda,Park Day,Oakland Unified,01612596998470,510,653,0317,370  43rd Street ,Oakland,CA,94609,tom@parkdayschool.org,29,33,32,34,30,35,27,26,32,0,0,0,0,0,0,278, ,,,,,Mr.,Tom,Li,Director,Coeducational,Day Only,K,8,No,0,13,12,5,15,Yes,No,No,No,Non-religious,,No,Mr.,Tom,Little,370  43rd Street ,Oakland,CA,94609,tom@parkdayschool.org
80031,Alameda,Patten Academy of Christian Education,Oakland Unified,01612596933022,510,533,3121,2433 Coolidge Avenue,Oakland,CA,94601-2699,sharon.anderson@patten.edu,15,14,12,12,17,17,11,16,14,19,12,14,13,0,0,186, ,,,,,Dr.,Sharon,Anderson,Principal,Coeducational,Day Only,K,12,Yes,17,14,6,1,5,Yes,Yes,Yes,No,Religious,EVAN,No,Mrs.,Edna,Marquez,2433 Coolidge Avenue,Oakland,CA,94601,edna.marquez@patte.edu
84355,Alameda,Peace Terrace Academy,Fremont Unified,01611767100902,510,477,9946,33330 Peace Terrace,Fremont,CA,94555,principal@peaceterrace.org,10,15,9,13,6,4,8,2,1,0,0,0,0,0,0,68, ,,,,,Mr.,Waqar,Fazlani,Administrator,Coeducational,Day Only,K,8,No,0,8,3,1,0,Yes,No,No,No,Religious,ISLM,No,Mr.,Waqar,Fazlani,33330 Peace Terrace,Fremont,CA,94555,administrator@peaceterrace.org
82122,Alameda,Pentecostal Way of Truth School Academy ,Oakland Unified,01612596933030,510,625,2002,1575 Seventh Street,Oakland,CA,94607,pwtsacademy@yahoo.com,2,2,1,2,0,2,1,0,0,0,1,1,2,0,0,14,P.O. Box 23562,Oakland,CA,94623,,Mrs.,Shiphrah ,Davis,Administrator,Coeducational,Day Only,K,12,No,3,3,4,8,3,Yes,Yes,Yes,No,Non-religious,,No,Mrs.,Brenda ,Harris,1575 Seventh Street,Oakland,CA,94607,pwtsacademy@yahoo.com
77274,Alameda,Peter Pan Academy,Alameda City Unified,01611196995591,510,523,4080,3171 Mecartney Road,Alameda,CA,94502,linda@peterpanschools.com,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,19, ,,  ,,,Ms.,Linda,Lucas,Director,Coeducational,Day Only,K,2,No,0,2,0,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Mahvash,Kamrani,2056 Santa Clara Avenue,Alameda,CA,94501,mahvash@kamrani.net
72769,Alameda,Prince of Peace Lutheran,Fremont Unified,01611766967483,510,797,8186,38451 Fremont Boulevard,Fremont,CA,94536,kwoodrow@popfremont.org,37,30,22,10,19,16,19,19,16,0,0,0,0,0,0,188, ,,,,,Rev.,Thomas,Zelt,Principal,Coeducational,Day Only,K,8,No,0,12,0,1,3,Yes,No,No,No,Religious,LUTH,No,Mrs.,Lisa,Rillamas,38451 Fremont Boulevard,Fremont,CA,94536,lrillamas@popfremont.org
77295,Alameda,"Principled Academy, The",San Leandro Unified,01612917072317,510,351,6400,2305 Washington Avenue,San Leandro,CA,94577,tpacademy2000@yahoo.com,19,13,12,10,6,8,3,10,5,0,0,0,0,0,0,86, ,,,,The Sunshine School,Mrs.,Kristina,Seher,Head of School,Coeducational,Day Only,K,8,No,0,3,5,2,8,Yes,Yes,No,No,Religious,NA,No,Mrs.,Kristina,Seher,2305 Washington Avenue,San Leandro,CA,94577,kristinaseher@hotmail.com
77282,Alameda,Purple Lotus Buddhist School,New Haven Unified,01612427096225,510,429,8808,33615 Ninth Street,Union City,CA,94587,school@purplelotus.org,0,0,0,1,6,1,1,4,7,6,9,4,6,0,0,45, ,,,,,Dr.,Kwok,Ng,Head of School,Coeducational,Both,3,12,Yes,8,5,9,4,10,Yes,No,No,No,Religious,Other,No,Dr.,Kwok,Ng,33615 Ninth Street,Union City,CA,94587,school@purplelotus.org
77050,Alameda,"Quarry Lane School, The",Dublin Unified,01750937103989,925,829,8000,6363 Tassjara Road,Dublin,CA,94568,gdenton@quarrylane.org,85,47,28,24,33,26,17,15,22,14,21,21,14,0,0,367,6363 Tassajara Road,Dublin,CA,94568,,Mr.,Sabri,Arac,Head of School,Coeducational,Day Only,K,12,Yes,0,35,2,4,4,No,No,No,Yes,Non-religious,,No,Mr.,Jag,Bagri,6363 Tassjara Road,Dublin,CA,94568,jag@quarrylane.org
81291,Alameda,"Quarry Lane, The",Pleasanton Unified,01751017078769,925,846,9400,3750 Boulder Street,Pleasanton,CA,94566,jsilva@quarrylane.org,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, ,,,,,Mrs.,Jennifer,Silva,Director,Coeducational,Day Only,K,K,No,0,20,6,5,1,No,No,No,Yes,Non-religious,,No,Mrs.,Cheryl ,Arseneau,3750 Boulder Street,Pleasanton,CA,94566,carseneau@quarrylane.org
79106,Alameda,Raskob Learning Institute and Day School,Oakland Unified,01612596994727,510,436,1275,3520 Mountain Boulevard,Oakland,CA,94619-1627,raskobinstitute@hnu.edu,0,0,0,4,8,6,16,23,16,0,0,0,0,0,0,73, ,,,,,Ms.,Edith,Gutterres,Executive Director,Coeducational,Day Only,3,8,No,0,8,0,4,9,Yes,No,No,No,Non-religious,,Yes,Mr.,Ricardo,Almada,3520 Mountain Boulevard,Oakland,CA,94619,
75231,Alameda,Redwood Christian Junior–Senior,San Lorenzo Unified,01613096998488,510,317,8990,1000 Paseo Grande ,San Lorenzo,CA,94580,inquiries@rcs.edu,0,0,0,0,0,0,50,50,52,47,56,55,61,0,0,371,4200 James Avenue,Castro Valley,CA,94546,,Mr.,Al,Hearne,Principal,Coeducational,Day Only,6,12,Yes,63,23,3,4,9,Yes,Yes,Yes,No,Religious,NA,No,Mrs.,Carolyn,Galvin,1000 Paseo Grande ,San Lorenzo,CA,94580,carolyngalvin@rcs.edu
74781,Alameda,Redwood Christian–Redwood Elementary,Castro Valley Unified,01611506913131,510,537,4288,19300 Redwood Road,Castro Valley,CA,94546,inquiries@rcs.edu,35,37,31,37,37,53,0,0,0,0,0,0,0,0,0,230,4200 James Avenue,Castro Valley,CA,94546,,Mr.,Mike,Kady,Principal,Coeducational,Day Only,K,5,No,0,15,3,2,15,Yes,Yes,Yes,No,Religious,NA,No,Mrs.,Patty,Boyd,19300 Redwood Road,Castro Valley,CA,94546,pattyboyd@rcs.edu
73860,Alameda,Redwood Day School,Oakland Unified,01612596995542,510,534,0800,3245 Sheffield Avenue,Oakland,CA,94602,jwieler@rdschool.org,35,38,44,42,44,27,41,35,38,0,0,0,0,0,0,344, ,,,,,Dr.,Michael,Riera,Head of School,Coeducational,Day Only,K,8,No,0,28,5,11,21,Yes,Yes,Yes,No,Non-religious,,No,Ms.,Sandra,Gray,3245 Sheffield Avenue ,Oakland,CA,94602,sgray@rdschool.org
76760,Alameda,Rising Star Montessori School,Alameda City Unified,01611196922470,510,865,4536,1421 High Street,Alameda,CA,94501,rssmont@aol.com,11,8,10,1,4,3,0,0,0,0,0,0,0,0,0,37, ,,,,,Ms.,Ann,Gavey,Head of School,Coeducational,Day Only,K,5,No,0,3,1,1,8,No,No,No,Yes,Non-religious,,No,Ms.,Ann,Gavey,1421 High Street,Alameda,CA,94501,rssmont@aol.com
72129,Alameda,Saint Elizabeth High,Oakland Unified,01612596933121,510,532,8947,1530-34th Avenue,Oakland,CA,94601,lbrock@stliz-hs.org,0,0,0,0,0,0,0,0,0,41,46,41,73,0,0,201, ,,,,,Sr.,Liam,Brock,Principal,Coeducational,Day Only,9,12,Yes,49,15,2,3,11,Yes,No,No,No,Religious,CATH,No,Mr.,Raymond,Troper,1530-34th Avenue,Oakland,CA,94601,rtroper@stliz-hs.org
80696,Alameda,Saint Jarlath School,Oakland Unified,01612596972962,510,532,4387,2634 Pleasant Street,Oakland,CA,94602,espencer@csdo.org,9,11,14,16,9,7,12,16,13,0,0,0,0,0,0,107,6 Skyline Drive ,Woodside,CA,94062,,Mrs.,Ellen,Spencer,Principal,Coeducational,Day Only,K,8,No,0,8,2,0.5,1,Yes,No,No,No,Religious,CATH,No,Mrs.,Ellen,Spencer,2634 Pleasant Street,Oakland,CA,94602,espencer@csdo.org
77935,Alameda,Saint Leo the Great School ,Oakland Unified,01612596973010,510,654,7828,4238 Howe Street,Oakland,CA,94611,ssimril@csdo.org,26,23,13,25,23,20,27,16,21,0,0,0,0,0,0,194, ,,,,,Mrs.,Sonya,Simril,Principal,Coeducational,Day Only,K,8,No,0,14,2,1,11,Yes,No,No,No,Religious,CATH,No,Mrs.,Sonya,Simril,4238 Harrison Street,Oakland,CA,94611,ssimril@csdo.org
82241,Alameda,Saint Mary's College High School,Berkeley Unified,01611436933162,510,526,9242,1294 Albina Avenue,Berkeley,CA,94706-2599,pimperial@stmchs.org,0,0,0,0,0,0,0,0,0,161,163,152,141,0,0,617, ,,,,,Mr.,Peter,Imperial,Principal,Coeducational,Day Only,9,12,Yes,151,44,4,4,28,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Carol,Balding,1294 Albina Avenue,Berkeley,CA,94706,cbalding@stmchs.org
77221,Alameda,"Saint Vincent's Day Home, Inc.",Oakland Unified,01612596994107,510,832,8324,1086 Eighth Street ,Oakland,CA,94607,info@svdh.org,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38, ,,,,,Ms.,Corinne,Mohrmann,Executive Director,Coeducational,Day Only,K,K,No,0,26,2,3,18,Yes,No,No,No,Non-religious,,No,Ms.,Corinne,Mohrmann,1086 Eighth Street ,Oakland,CA,94607,info@svdh.org
72526,Alameda,Scholars' Planet,Fremont Unified,01611766138762,510,573,5113,43140 Osgood Road ,Fremont,CA,94539,director@scholarsplanet.org,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,11,39120 Argonuat Way # 490 ,Fremont,CA,94538,,Mrs.,Seham,El-Ansary,Director,Coeducational,Day Only,K,6,No,0,4,0,1,4,No,No,No,Yes,Non-religious,,No,Mrs.,Seham,El-Ansary,43140 Osgood Road ,Fremont,CA,94539,director@scholarsplanet.org
76430,Alameda,School of the Madeleine,Berkeley Unified,01611436973085,510,526,4744,1225 Milvia Street ,Berkeley,CA,94709,cdeehan@themadeleine.com,36,35,31,35,34,35,36,33,31,0,0,0,0,0,0,306, ,,,,,Mrs.,Catherine,Deehan,Principal,Coeducational,Day Only,K,8,No,0,14,3,1,19,Yes,No,No,No,Religious,CATH,No,Mrs.,Betsy,Harvey,1225 Milvia Street,Berkeley,CA,94709,bharvey@themadeleine.com
82593,Alameda,Seneca Center - Fremont,Fremont Unified,01611767077548,510,226,6180,40950 Chapel Way,Fremont,CA,94538,kari_oconnor@senecacenter.org,0,1,0,3,4,3,5,9,5,10,4,3,5,0,0,52, ,,,,,Ms.,Kari,O'Connor,Director,Coeducational,Day Only,K,12,Yes,1,7,0,4,24,Yes,No,No,No,Non-religious,,Yes,Ms.,Mary,Silva,40950 Chapel Way,Fremont,CA,94538,mary_silva@senecacenter.org
73154,Alameda,Seneca Center–San Leandro Day Treatment,San Lorenzo Unified,01613097035512,510,481,1222,2275 Arlington Drive,San Leandro,CA,94578,robin_detterman@senecacenter.org,0,0,4,5,5,9,13,13,14,12,16,11,11,0,0,113, ,,,,,Ms.,Robin,Detterman,Administrator,Coeducational,Both,K,12,Yes,11,14,0,7,63,Yes,No,No,No,Non-religious,,Yes,Ms.,Cynthia,Joost,2275 Arlington Drive,San Leandro,CA,94578,cynthia_joost@senecacenter.org
73872,Alameda,Shining Light Christian Academy,San Lorenzo Unified,01613096131239,510,376,2871,17315 Via Frances ,San Lorenzo,CA,94580,shininglightchristianacademy@yahoo.com,0,2,0,0,1,1,1,2,5,3,4,0,1,0,0,20, ,,,,,Mrs.,Eliana,Martinez,Director,Coeducational,Day Only,1,12,Yes,1,8,0,0,0,No,No,No,Yes,Religious,Other,No,Mrs.,Eliana,Martinez,17315 Via Frances ,San Lorenzo,CA,94580,
81967,Alameda,Sonrise Christian Academy,Livermore Valley Joint Unified,01612007081383,925,373,2161,164 North L Street,Livermore,CA,94550,Argyl@sonriseisp.com,0,1,1,1,2,2,1,1,1,3,1,2,1,0,0,17, ,,  ,,,Mr.,Argyl,Dickson,Administrator,Coeducational,Day Only,1,12,Yes,0,4,0,2,0,No,No,No,Yes,Religious,NA,No,Mrs.,Aida,Dunn,164 North L Street,Livermore,CA,94550,jamesandaidadunn@sbcglobal.net
85616,Alameda,Spectrum Center Mission Valley,Hayward,01612426204713,510,576,7990,24823 Soto Road ,Hayward,CA,94544,mtirado@esa-education.com,0,0,0,0,0,0,0,0,0,0,0,0,0,21,47,68, ,,,,,Miss,Anna ,Delgadillo,Administrator,Coeducational,Day Only,K,12,Yes,0,7,1,5,30,No,No,No,Yes,Non-religious,,Yes,Miss,Monica,Tirado,24823 Soto Road ,Hayward,CA,94544,mtirado@esa-education.com
75268,Alameda,"Spectrum Center, Inc–Oakland Campus",Oakland Unified,01612597077878,510,729,6384,6325 Camden Street,Oakland,CA,94605,lluce@esa-education.com,0,0,0,0,0,0,0,0,0,0,0,1,0,7,85,93,6325 Camden Street,Oakland,CA,94605,,Ms.,Rain,Johnson,Other,Coeducational,Day Only,K,12,Yes,0,10,0,6,64,No,No,No,Yes,Non-religious,,Yes,Ms.,Rain,Johnson,6325 Camden Street,Oakland,CA,94605,rjohnson@esa-education.com
78190,Alameda,St. Andrew M.B.C. Private  P. C. P. C.,Oakland Unified,01612596904452,510,465,8023,2624 West Street,Oakland,CA,94612,saintambcpstu@yahoo.com,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,195, ,,,,,Dr.,Robert,Lacy,President,Coeducational,Day Only,K,12,Yes,3,8,10,5,5,Yes,No,No,No,Religious,BAPT,Yes,Ms.,Murida,Lacy,2624 West Street,Oakland,CA,94612,
75626,Alameda,St. Anthony School,Oakland Unified,01612596967517,510,534,3334,1500 East 15th Street,Oakland,CA,94606,bflannery@csdo.org,15,19,21,20,17,17,16,14,15,0,0,0,0,0,0,154, ,,,,,Sr.,Barbara,Flannery,Principal,Coeducational,Day Only,K,8,No,0,10,0,1,3,Yes,No,No,No,Religious,CATH,No,Mrs.,Mina,Bravo,1500 East 15th Street,Oakland,CA,94606,
72690,Alameda,St. Bede Catholic,Hayward Unified,01611926972871,510,782,3444,26910 Patrick ,Hayward,CA,94544-3898,kolague@csdo.org,22,26,22,19,24,25,22,40,33,0,0,0,0,0,0,233, ,,,,,Mrs.,Antoinette,Cosentino,Principal,Coeducational,Day Only,K,8,No,0,10,0,1,6,Yes,No,No,No,Religious,CATH,No,Mrs.,Kimberleigh,Olague,26910 Patrick Avenue,Hayward,CA,94544,kolague@csdo.org
80693,Alameda,St. Bernard,Oakland Unified,01612596972897,510,632,6323,1630 62nd Avenue,Oakland,CA,94621,espencer@csdo.org,8,9,11,5,7,6,10,8,10,0,0,0,0,0,0,74,6 Skyline Drive ,Woodside,CA,94062,,Mrs.,Ellen,Spencer,Principal,Coeducational,Day Only,K,8,No,0,7,0,0.5,2,Yes,No,No,No,Religious,CATH,No,Mrs.,Ellen,Spencer,1630 62nd Avenue,Oakland,CA,94621,espencer@csdo.org
78878,Alameda,St. Clement Catholic,Hayward Unified,01611926965917,510,538,5885,790 Calhoun Street,Hayward,CA,94544,ljang@csdo.org,23,26,28,20,28,35,36,38,37,0,0,0,0,0,0,271, ,,,,,Mrs.,Lana,Jang Rocheford,Principal,Coeducational,Day Only,K,8,No,0,11,3,1,14,Yes,No,No,No,Religious,CATH,No,Mrs.,Maryann,Harris,790 Calhoun Street,Hayward,CA,94544,mharris@sclement.org
78942,Alameda,St. Edward Parish,Newark Unified,01612346972921,510,793,7242,5788 Thornton Avenue,Newark,CA,94560,daruda@stedwardnewark.org,30,36,34,33,33,33,33,30,33,0,0,0,0,0,0,295, ,,,,,Sr.,Diane,"Aruda, O.P.",Principal,Coeducational,Day Only,K,8,No,0,13,0,1,22,Yes,No,No,No,Religious,CATH,Yes,Sr.,Diane,"Aruda, O.P.",5788 Thornton Avenue,Newark,CA,94560,daruda@stedwardnewark.org
77781,Alameda,St. Elizabeth Elementary,Oakland Unified,01612596972939,510,532,7392,1516 - 33rd Avenue,Oakland,CA,94601,rhennessy@saintelizabeth.us,31,25,29,35,32,41,37,39,37,0,0,0,0,0,0,306, ,,,,,Sr.,Rose Marie,Hennessy,Principal,Coeducational,Day Only,K,8,No,0,17,3,2,17,Yes,Yes,Yes,No,Religious,CATH,Yes,Mrs.,Margarita ,Guevara,1516 33rd Avenue,Oakland,CA,94601,mguevara@saintelizabeth.us
79673,Alameda,St. Felicitas Catholic School,San Lorenzo Unified,01613096972947,510,357,2530,1650 Manor Boulevard,San Leandro,CA,94579,rpierre-antoine@csdo.org,23,33,32,34,35,23,34,33,31,0,0,0,0,0,0,278,,,,,,Mr.,Rodney,Pierre-Antoine,Principal,Coeducational,Day Only,K,8,No,0,11,3,1,14,Yes,No,No,No,Religious,CATH,No,Mr.,Rodney,Pierre-Antoine,1650 Manor Boulevard,San Leandro,CA,94579,r@csdo.org
